u,u0,soc,bd,c,c2,c0,sx,dP,xl,soci,socd,Pc,Pd,nc,nd,Q,ts,tf,agc,mod
1,1,0.9649354651867463,0,0,1,1,19,0.0,"[[], [], []]",0.2622865355552552,0.7751845575169006,6.294585779416553,6.294585779416553,0.8907343955146351,0.8907343955146351,23.11769412975366,15.130650846965992,22.828819777427302,0,0
1,1,1.0,1,0,1,1,19,0.0,"[[], [], []]",0.23861233839595675,0.7485149869266058,6.783718740030222,6.783718740030222,0.8811637378268553,0.8811637378268553,21.56657104265056,12.306019722115856,21.595911780887846,0,0
1,1,0.7761917760558458,0,0,1,1,15,0.0,"[[], [], []]",0.2716697522489872,0.775936706416695,6.234580526307869,6.234580526307869,0.9407326558825384,0.9407326558825384,27.70489099976262,16.004841145009646,23.556218802140577,0,0
1,1,1.0,1,0,1,1,19,0.0,"[[], [], []]",0.22884724246301894,0.7992833842069972,6.832371028921503,6.832371028921503,0.9456841770380814,0.9456841770380814,26.056995117731596,12.587774405773851,23.925789016289052,0,0
0,0,1.0,1,0,1,1,19,0.0,"[[], [], []]",0.29013176015026054,0.8378310813913062,5.261275403321837,5.261275403321837,0.9117854703902296,0.9117854703902296,21.7775914333236,0.42273706466027416,18.462981676990623,0,0
1,1,0.5448544057458089,0,1,0,0,10,5.147554536809502,"[[], [], []]",0.33191843035805385,0.81066140602175,5.42521303365334,5.42521303365334,0.9488207200120098,0.9488207200120098,20.756227369786753,18.028723373795206,23.84475339080051,0,0
1,1,0.5777038512818988,0,1,0,0,11,6.104243901445532,"[[], [], []]",0.27605677740361134,0.8291636609102949,6.487288297550888,6.487288297550888,0.9409546210163089,0.9409546210163089,26.68595706953746,17.492398917818637,23.40974199474782,0,0
1,1,0.5042867950398081,0,1,0,0,10,5.190104358292449,"[[], [], []]",0.28131056109657265,0.8030784044509914,5.5222964186595505,5.5222964186595505,0.9398453043475461,0.9398453043475461,26.911330350055806,17.730785208017824,23.67273148310636,0,0
1,1,0.808193255249593,0,0,1,1,16,0.0,"[[], [], []]",0.2691380141464211,0.8247019562833255,6.656686687784989,6.656686687784989,0.8820377270108133,0.8820377270108133,21.750389073681937,16.349217050627704,23.149396777311715,0,0
1,1,0.8258683715011832,0,0,1,1,16,0.0,"[[], [], []]",0.2959041845003417,0.7993364804117867,5.065098039609325,5.065098039609325,0.9263362479174139,0.9263362479174139,20.54603788209284,15.888749304953135,23.30834514763628,0,0
