time,ne
4.583333333333333,0.8986
4.6,0.8982
4.616666666666666,0.8973
4.633333333333333,0.8973
4.6499999999999995,0.897
4.666666666666667,0.8966
4.683333333333334,0.8959
4.7,0.8953
4.716666666666667,0.8949
4.733333333333333,0.8938
4.75,0.8933
4.766666666666667,0.8922
4.783333333333333,0.8922
4.8,0.8921
4.816666666666666,0.8915
4.833333333333333,0.8899
4.85,0.8892
4.866666666666666,0.889
4.883333333333333,0.888
4.8999999999999995,0.8861
4.916666666666667,0.8851
4.933333333333334,0.8842
4.95,0.8834
4.966666666666667,0.8826
4.983333333333333,0.8821
5.0,0.8806
5.016666666666667,0.88
5.033333333333333,0.8792
5.05,0.8783
5.066666666666666,0.8777
5.083333333333333,0.8769
5.1,0.8759
5.116666666666666,0.8757
5.133333333333333,0.875
5.1499999999999995,0.8748
5.166666666666667,0.8734
5.183333333333334,0.8725
5.2,0.8716
5.216666666666667,0.87
5.233333333333333,0.8689
5.25,0.8687
5.266666666666667,0.8677
5.283333333333333,0.8669
5.3,0.8657
5.316666666666666,0.865
5.333333333333333,0.8642
5.35,0.8628
5.366666666666666,0.8615
5.383333333333333,0.8601
5.3999999999999995,0.8595
5.416666666666667,0.858
5.433333333333334,0.8573
5.45,0.856
5.466666666666667,0.8544
5.483333333333333,0.8533
5.5,0.8515
5.516666666666667,0.8508
5.533333333333333,0.8497
5.55,0.8484
5.566666666666666,0.8473
5.583333333333333,0.8467
5.6,0.8455
5.616666666666666,0.844
5.633333333333333,0.8427
5.6499999999999995,0.8413
5.666666666666667,0.8405
5.683333333333334,0.8396
5.7,0.8381
5.716666666666667,0.8361
5.733333333333333,0.8348
5.75,0.8336
5.766666666666667,0.8322
5.783333333333333,0.8313
5.8,0.83
5.816666666666666,0.8282
5.833333333333333,0.8262
5.85,0.8245
5.866666666666666,0.823
5.883333333333333,0.8216
5.8999999999999995,0.8201
5.916666666666667,0.8184
5.933333333333334,0.8174
5.95,0.8167
5.966666666666667,0.8151
5.983333333333333,0.8138
6.0,0.8128
6.016666666666667,0.8116
6.033333333333333,0.8103
6.05,0.8089
6.066666666666666,0.8072
6.083333333333333,0.8061
6.1,0.8042
6.116666666666666,0.8034
6.133333333333333,0.802
6.1499999999999995,0.7995
6.166666666666667,0.7983
6.183333333333334,0.7974
6.2,0.7955
6.216666666666667,0.7944
6.233333333333333,0.7929
6.25,0.7916
6.266666666666667,0.7908
6.283333333333333,0.7892
6.3,0.7878
6.316666666666666,0.7865
6.333333333333333,0.7843
6.35,0.7832
6.366666666666666,0.7816
6.383333333333333,0.7798
6.3999999999999995,0.7774
6.416666666666667,0.7756
6.433333333333334,0.7738
6.45,0.7718
6.466666666666667,0.7697
6.483333333333333,0.7682
6.5,0.7669
6.516666666666667,0.7657
6.533333333333333,0.7633
6.55,0.7616
6.566666666666666,0.7599
6.583333333333333,0.7583
6.6,0.7569
6.616666666666666,0.7551
6.633333333333333,0.7535
6.6499999999999995,0.7508
6.666666666666666,0.7494
6.683333333333334,0.7483
6.7,0.7461
6.716666666666667,0.7445
6.733333333333333,0.7437
