time,ne
2.6166666666666667,4265
2.6333333333333333,4269
2.65,4277
2.6666666666666665,4288
2.683333333333333,4294
2.6999999999999997,4303
2.716666666666667,4315
2.7333333333333334,4316
2.75,4322
2.7666666666666666,4325
2.783333333333333,4329
2.8,4335
2.8166666666666664,4342
2.833333333333333,4349
2.85,4353
2.8666666666666667,4357
2.8833333333333333,4360
2.9,4366
2.9166666666666665,4368
2.933333333333333,4369
2.9499999999999997,4373
2.966666666666667,4381
2.9833333333333334,4381
3.0,4384
3.0166666666666666,4386
3.033333333333333,4389
3.05,4396
3.0666666666666664,4402
3.083333333333333,4411
3.1,4411
3.1166666666666667,4414
3.1333333333333333,4415
3.15,4420
3.1666666666666665,4429
3.183333333333333,4437
3.1999999999999997,4439
3.216666666666667,4450
3.2333333333333334,4452
3.25,4457
3.2666666666666666,4458
3.283333333333333,4462
3.3,4464
3.3166666666666664,4464
3.333333333333333,4469
3.35,4472
3.3666666666666667,4476
3.3833333333333333,4477
3.4,4480
3.4166666666666665,4483
3.433333333333333,4490
3.4499999999999997,4486
3.4666666666666663,4486
3.4833333333333334,4492
3.5,4496
3.5166666666666666,4492
3.533333333333333,4492
3.55,4487
3.5666666666666664,4491
3.583333333333333,4495
3.6,4499
3.6166666666666667,4506
3.6333333333333333,4510
3.65,4511
3.6666666666666665,4510
3.683333333333333,4509
3.6999999999999997,4512
3.7166666666666663,4513
3.7333333333333334,4509
3.75,4507
3.7666666666666666,4507
3.783333333333333,4506
3.8,4505
3.8166666666666664,4505
3.833333333333333,4505
3.85,4505
3.8666666666666667,4507
3.8833333333333333,4504
3.9,4501
3.9166666666666665,4497
3.933333333333333,4500
3.9499999999999997,4499
3.9666666666666663,4500
3.9833333333333334,4500
4.0,4501
4.016666666666667,4504
4.033333333333333,4503
4.05,4503
4.066666666666666,4502
4.083333333333333,4500
4.1,4494
4.116666666666666,4492
4.133333333333333,4494
4.1499999999999995,4494
4.166666666666667,4492
4.183333333333334,4489
4.2,4486
4.216666666666667,4486
4.233333333333333,4483
4.25,4484
4.266666666666667,4480
4.283333333333333,4477
4.3,4481
4.316666666666666,4481
4.333333333333333,4479
4.35,4477
4.366666666666666,4479
4.383333333333333,4476
4.3999999999999995,4475
4.416666666666667,4472
4.433333333333334,4469
4.45,4468
4.466666666666667,4463
4.483333333333333,4458
4.5,4454
4.516666666666667,4454
4.533333333333333,4452
4.55,4448
4.566666666666666,4446
4.583333333333333,4439
4.6,4432
4.616666666666666,4431
4.633333333333333,4428
4.6499999999999995,4420
4.666666666666667,4418
4.683333333333334,4412
4.7,4407
4.716666666666667,4402
4.733333333333333,4397
4.75,4396
4.766666666666667,4393
4.783333333333333,4389
4.8,4386
4.816666666666666,4382
4.833333333333333,4385
4.85,4379
4.866666666666666,4374
4.883333333333333,4367
4.8999999999999995,4364
4.916666666666667,4360
4.933333333333334,4362
4.95,4360
4.966666666666667,4355
4.983333333333333,4350
5.0,4351
5.016666666666667,4349
5.033333333333333,4344
5.05,4341
5.066666666666666,4337
5.083333333333333,4331
5.1,4324
5.116666666666666,4321
5.133333333333333,4315
5.1499999999999995,4311
5.166666666666667,4305
5.183333333333334,4296
5.2,4293
5.216666666666667,4289
5.233333333333333,4284
5.25,4279
5.266666666666667,4278
5.283333333333333,4275
5.3,4272
5.316666666666666,4268
5.333333333333333,4259
5.35,4255
5.366666666666666,4254
5.383333333333333,4244
5.3999999999999995,4241
5.416666666666667,4236
5.433333333333334,4231
5.45,4226
5.466666666666667,4225
5.483333333333333,4221
5.5,4216
5.516666666666667,4211
5.533333333333333,4208
5.55,4205
5.566666666666666,4198
5.583333333333333,4195
5.6,4189
5.616666666666666,4183
5.633333333333333,4179
5.6499999999999995,4173
5.666666666666667,4169
5.683333333333334,4163
5.7,4154
5.716666666666667,4143
5.733333333333333,4134
5.75,4128
5.766666666666667,4125
5.783333333333333,4113
5.8,4107
5.816666666666666,4104
5.833333333333333,4099
5.85,4096
5.866666666666666,4090
5.883333333333333,4081
5.8999999999999995,4072
5.916666666666667,4065
5.933333333333334,4060
5.95,4057
5.966666666666667,4051
5.983333333333333,4044
6.0,4035
6.016666666666667,4030
6.033333333333333,4022
6.05,4014
6.066666666666666,4004
6.083333333333333,3999
6.1,3992
6.116666666666666,3986
6.133333333333333,3979
6.1499999999999995,3971
6.166666666666667,3965
6.183333333333334,3961
6.2,3955
6.216666666666667,3944
6.233333333333333,3938
6.25,3930
6.266666666666667,3924
6.283333333333333,3917
6.3,3913
6.316666666666666,3908
6.333333333333333,3905
6.35,3897
6.366666666666666,3891
6.383333333333333,3882
6.3999999999999995,3874
6.416666666666667,3867
6.433333333333334,3862
6.45,3852
6.466666666666667,3844
6.483333333333333,3836
6.5,3828
6.516666666666667,3823
6.533333333333333,3813
6.55,3806
6.566666666666666,3798
6.583333333333333,3791
6.6,3780
6.616666666666666,3766
6.633333333333333,3756
6.6499999999999995,3747
6.666666666666666,3739
6.683333333333334,3726
6.7,3717
6.716666666666667,3711
6.733333333333333,3705
6.75,3696
6.766666666666667,3690
6.783333333333333,3678
6.8,3670
6.816666666666666,3656
6.833333333333333,3651
6.85,3645
6.866666666666666,3635
6.883333333333333,3629
6.8999999999999995,3618
6.916666666666666,3611
6.933333333333334,3601
6.95,3592
6.966666666666667,3586
6.983333333333333,3585
7.0,3581
7.016666666666667,3566
7.033333333333333,3560
7.05,3550
7.066666666666666,3540
7.083333333333333,3528
7.1,3520
7.116666666666666,3507
7.133333333333333,3497
7.1499999999999995,3486
7.166666666666666,3472
7.183333333333334,3465
7.2,3458
7.216666666666667,3448
7.233333333333333,3439
7.25,3433
7.266666666666667,3421
7.283333333333333,3416
7.3,3404
7.316666666666666,3397
7.333333333333333,3388
7.35,3379
7.366666666666666,3374
7.383333333333333,3368
7.3999999999999995,3359
7.416666666666666,3347
7.433333333333334,3334
7.45,3328
7.466666666666667,3320
7.483333333333333,3303
7.5,3294
7.516666666666667,3287
7.533333333333333,3283
7.55,3276
7.566666666666666,3274
7.583333333333333,3267
7.6,3256
7.616666666666666,3245
7.633333333333333,3233
7.6499999999999995,3228
7.666666666666666,3220
7.683333333333334,3212
7.7,3208
7.716666666666667,3198
7.733333333333333,3193
7.75,3185
7.766666666666667,3177
7.783333333333333,3168
7.8,3161
7.816666666666666,3147
7.833333333333333,3134
7.85,3127
7.866666666666666,3118
7.883333333333333,3113
7.8999999999999995,3110
7.916666666666666,3097
7.933333333333334,3091
7.95,3083
7.966666666666667,3076
7.983333333333333,3065
8.0,3055
8.016666666666667,3049
8.033333333333333,3042
8.05,3031
8.066666666666668,3027
8.083333333333334,3020
8.100000000000001,3007
8.116666666666667,2998
8.133333333333335,2984
8.15,2973
8.166666666666668,2967
8.183333333333334,2961
8.200000000000001,2954
8.216666666666667,2944
8.233333333333334,2935
8.25,2929
8.266666666666667,2923
8.283333333333333,2920
8.3,2906
8.316666666666668,2902
8.333333333333334,2889
8.350000000000001,2881
8.366666666666667,2876
8.383333333333335,2866
8.4,2859
8.416666666666668,2844
8.433333333333334,2835
8.450000000000001,2826
8.466666666666667,2815
8.483333333333334,2807
8.5,2799
8.516666666666667,2789
8.533333333333333,2779
8.55,2772
8.566666666666668,2763
8.583333333333334,2758
8.600000000000001,2752
8.616666666666667,2745
8.633333333333335,2735
8.65,2724
8.666666666666668,2715
8.683333333333334,2704
8.700000000000001,2690
